Freq.	V(i_sns)	V(v_sns)
5.01187233627275e+02	(-2.57857554888742e+01dB,-9.61687274577858e+01°)	(4.25043071571252e+00dB,-6.13366202991438e+00°)
5.24807460249776e+02	(-2.53902075225169e+01dB,-9.64573237911993e+01°)	(4.24597599203568e+00dB,-6.42060573579414e+00°)
5.49540873857628e+02	(-2.49950837982733e+01dB,-9.67592097927570e+01°)	(4.24109676688104e+00dB,-6.72076122063390e+00°)
5.75439937337161e+02	(-2.46004242313768e+01dB,-9.70749660979886e+01°)	(4.23575309998198e+00dB,-7.03470544860267e+00°)
6.02559586074362e+02	(-2.42062723147877e+01dB,-9.74051949573853e+01°)	(4.22990147093006e+00dB,-7.36303682573339e+00°)
6.30957344480197e+02	(-2.38126755231756e+01dB,-9.77505186821758e+01°)	(4.22349437495990e+00dB,-7.70637363752187e+00°)
6.60693448007600e+02	(-2.34196856168361e+01dB,-9.81115811240336e+01°)	(4.21648001877684e+00dB,-8.06535552003965e+00°)
6.91830970918941e+02	(-2.30273590138599e+01dB,-9.84890463641908e+01°)	(4.20880194810788e+00dB,-8.44064214013598e+00°)
7.24435960074995e+02	(-2.26357571140978e+01dB,-9.88835995530943e+01°)	(4.20039872342979e+00dB,-8.83291402568695e+00°)
7.58577575029189e+02	(-2.22449467547572e+01dB,-9.92959448466624e+01°)	(4.19120346403555e+00dB,-9.24287049199918e+00°)
7.94328234724287e+02	(-2.18550006209216e+01dB,-9.97268055956063e+01°)	(4.18114343714570e+00dB,-9.67122982087233e+00°)
8.31763771102677e+02	(-2.14659976749111e+01dB,-1.00176923626127e+02°)	(4.17013962814315e+00dB,-1.01187285304711e+01°)
8.70963589956087e+02	(-2.10780237000767e+01dB,-1.00647057129599e+02°)	(4.15810619633505e+00dB,-1.05861192537350e+01°)
9.12010839355916e+02	(-2.06911716818854e+01dB,-1.01137979550239e+02°)	(4.14495009338065e+00dB,-1.10741696141586e+01°)
9.54992586021443e+02	(-2.03055424085429e+01dB,-1.01650477534025e+02°)	(4.13057046213495e+00dB,-1.15836601624054e+01°)
1.00000000000001e+03	(-1.99212449627550e+01dB,-1.02185348751616e+02°)	(4.11485814430256e+00dB,-1.21153821861263e+01°)
1.04712854805091e+03	(-1.95383972582321e+01dB,-1.02743397905357e+02°)	(4.09769514329087e+00dB,-1.26701337034160e+01°)
1.09647819614319e+03	(-1.91571266091988e+01dB,-1.03325435905623e+02°)	(4.07895405399767e+00dB,-1.32487186249101e+01°)
1.14815362149689e+03	(-1.87775702268511e+01dB,-1.03932273221222e+02°)	(4.05849756558172e+00dB,-1.38519400891721e+01°)
1.20226443461742e+03	(-1.83998758024059e+01dB,-1.04564717507476e+02°)	(4.03617787756827e+00dB,-1.44805980751730e+01°)
